SiteId,WsWaIdx,DateHrGmt,DateHrLwt,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
Madrid History 2012,581525,2012-05-22-22,2012-05-22-23,55.3,44.8,48.2,68,936.6,0,53.8,53.8,6,20,0.00,0,0,0,7
Madrid History 2012,581525,2012-05-22-23,2012-05-23-00,53.9,44.4,48.5,70,936.8,2,52.1,52.1,6,20,0.00,0,0,0,7
Madrid History 2012,581525,2012-05-23-00,2012-05-23-01,52.4,44.0,47.4,73,937.0,0,50.5,50.5,5,30,0.00,0,0,0,6
Madrid History 2012,581525,2012-05-23-01,2012-05-23-02,51.7,45.2,46.7,79,937.1,0,49.9,49.9,5,30,0.00,0,0,0,6
Madrid History 2012,581525,2012-05-23-02,2012-05-23-03,50.6,44.7,46.9,80,937.0,0,48.7,48.7,5,20,0.00,0,0,0,6
Madrid History 2012,581525,2012-05-23-03,2012-05-23-04,49.6,44.1,45.5,82,936.7,0,47.7,47.7,4,20,0.00,0,0,0,5
Madrid History 2012,581525,2012-05-23-04,2012-05-23-05,48.8,43.5,45.5,82,936.8,0,46.9,46.9,4,20,0.00,0,0,0,5
Madrid History 2012,581525,2012-05-23-05,2012-05-23-06,48.4,42.9,45.4,81,937.1,0,46.5,46.5,4,20,0.00,0,0,0,5
Madrid History 2012,581525,2012-05-23-06,2012-05-23-07,52.8,43.0,46.7,69,937.4,0,51.8,51.8,4,20,0.00,48,35,122,5
Madrid History 2012,581525,2012-05-23-07,2012-05-23-08,58.8,43.9,49.5,58,937.5,0,58.8,58.8,3,20,0.00,225,68,548,3
Madrid History 2012,581525,2012-05-23-08,2012-05-23-09,66.3,43.8,53.7,44,937.4,0,66.3,66.3,3,360,0.00,428,86,730,3
Madrid History 2012,581525,2012-05-23-09,2012-05-23-10,71.6,42.5,55.4,35,937.2,0,71.6,74.6,3,350,0.00,622,109,810,3
